hour,,day,,,lat,lng,,,,,,,,weight
9,,friday,,,23.805381,90.374565,,,,,,,,38.6
5,,saturday,,,23.805381,90.374565,,,,,,,,2.8
9,,friday,,,23.805381,90.374565,,,,,,,,38.6
10,,saturday,,,23.805381,90.374565,,,,,,,,0
7,,saturday,,,23.805381,90.374565,,,,,,,,3.3
1,,sunday,,,23.805381,90.374565,,,,,,,,0
10,,friday,,,23.805381,90.374565,,,,,,,,2.9
5,,tuesday,,,23.805381,90.374565,,,,,,,,6
10,,sunday,,,23.805381,90.374565,,,,,,,,2.6
8,,sunday,,,23.805381,90.374565,,,,,,,,56
11,,tuesday,,,23.805381,90.374565,,,,,,,,0
11,,wednesday,,,23.805381,90.374565,,,,,,,,0
6,,saturday,,,23.805381,90.374565,,,,,,,,0
4,,saturday,,,23.760178,90.355229,,,,,,,,0
10,,sunday,,,23.760178,90.355229,,,,,,,,0.1
4,,monday,,,23.760178,90.355229,,,,,,,,0.2
5,,sunday,,,23.760178,90.355229,,,,,,,,0.1
10,,wednesday,,,23.784506,90.403409,,,,,,,,4
12,,tuesday,,,23.729802,90.4126245,,,,,,,,0
8,,wednesday,,,23.733251,90.442769,,,,,,,,1.4
8,,wednesday,,,23.733251,90.442769,,,,,,,,1.4
11,,sunday,,,23.716838,90.405322,,,,,,,,0
9,,wednesday,,,23.784506,90.403409,,,,,,,,3.3
1,,monday,,,23.6667,90.1667,,,,,,,,0
2,,thursday,,,23.6667,90.1667,,,,,,,,0
10,,tuesday,,,23.827398,90.364473,,,,,,,,9.1
8,,tuesday,,,23.827398,90.364473,,,,,,,,12.1
5,,sunday,,,23.73368,90.413005,,,,,,,,8.4
7,,thursday,,,23.759994,90.420113,,,,,,,,4.9
6,,friday,,,23.759994,90.420113,,,,,,,,38.7
3,,thursday,,,23.784506,90.403409,,,,,,,,0
9,,sunday,,,23.77731,90.43628,,,,,,,,1.5
2,,sunday,,,23.77731,90.43628,,,,,,,,0
6,,tuesday,,,23.85833,90.26667,,,,,,,,9.1
12,,wednesday,,,23.85833,90.26667,,,,,,,,0
1,,thursday,,,23.85833,90.26667,,,,,,,,0
9,,wednesday,,,23.85833,90.26667,,,,,,,,1.5
12,,thursday,,,23.85833,90.26667,,,,,,,,0
12,,monday,,,23.85833,90.26667,,,,,,,,0
9,,friday,,,23.85833,90.26667,,,,,,,,2.2
12,,tuesday,,,23.85833,90.26667,,,,,,,,0
7,,tuesday,,,23.85833,90.26667,,,,,,,,12.1
12,,tuesday,,,23.85833,90.26667,,,,,,,,0
8,,saturday,,,23.85833,90.26667,,,,,,,,2.2
10,,saturday,,,23.85833,90.26667,,,,,,,,0
8,,tuesday,,,23.85833,90.26667,,,,,,,,5.9
2,,saturday,,,23.85833,90.26667,,,,,,,,0
5,,saturday,,,23.85833,90.26667,,,,,,,,0
5,,tuesday,,,23.85833,90.26667,,,,,,,,0
7,,wednesday,,,23.85833,90.26667,,,,,,,,2.1
8,,saturday,,,23.85833,90.26667,,,,,,,,19
8,,tuesday,,,23.85833,90.26667,,,,,,,,4.5
8,,wednesday,,,23.85833,90.26667,,,,,,,,16.1
6,,wednesday,,,23.85833,90.26667,,,,,,,,12.5
10,,monday,,,23.85833,90.26667,,,,,,,,3.4
5,,tuesday,,,23.85833,90.26667,,,,,,,,5.9
8,,sunday,,,23.85833,90.26667,,,,,,,,1.4
8,,sunday,,,23.85833,90.26667,,,,,,,,1.4
3,,monday,,,23.85833,90.26667,,,,,,,,2.3
2,,thursday,,,23.85833,90.26667,,,,,,,,0
1,,friday,,,23.85833,90.26667,,,,,,,,0
2,,saturday,,,23.85833,90.26667,,,,,,,,0
2,,friday,,,23.85833,90.26667,,,,,,,,0
7,,sunday,,,23.85833,90.26667,,,,,,,,16.2
9,,sunday,,,23.85833,90.26667,,,,,,,,6.2
4,,thursday,,,23.85833,90.26667,,,,,,,,0.4
10,,wednesday,,,23.85833,90.26667,,,,,,,,0.5
8,,sunday,,,23.85833,90.26667,,,,,,,,1.4
1,,saturday,,,23.85833,90.26667,,,,,,,,0
1,,friday,,,23.85833,90.26667,,,,,,,,0
9,,saturday,,,23.85833,90.26667,,,,,,,,0.3
6,,sunday,,,23.85833,90.26667,,,,,,,,4.2
9,,sunday,,,23.85833,90.26667,,,,,,,,0.4
9,,friday,,,23.85833,90.26667,,,,,,,,3.2
7,,thursday,,,23.85833,90.26667,,,,,,,,16.8
12,,wednesday,,,23.85833,90.26667,,,,,,,,0
12,,sunday,,,23.85833,90.26667,,,,,,,,0
12,,monday,,,23.736484,90.397323,,,,,,,,0
10,,sunday,,,23.784506,90.403409,,,,,,,,1.2
8,,monday,,,23.767676,90.376173,,,,,,,,3.7
6,,sunday,,,23.767676,90.376173,,,,,,,,13.3
8,,tuesday,,,23.711414,90.415019,,,,,,,,10.5
2,,friday,,,23.763,90.3897,,,,,,,,0
3,,monday,,,23.763,90.3897,,,,,,,,0
10,,friday,,,23.763,90.3897,,,,,,,,2.3
9,,monday,,,23.763,90.3897,,,,,,,,0
12,,wednesday,,,23.887625,90.398942,,,,,,,,0
1,,wednesday,,,23.887625,90.398942,,,,,,,,0
1,,monday,,,23.73018,90.4102,,,,,,,,0
1,,friday,,,23.874875,90.393071,,,,,,,,0
1,,sunday,,,23.874875,90.393071,,,,,,,,0
8,,friday,,,23.874875,90.393071,,,,,,,,0.7
12,,sunday,,,23.728907,90.417137,,,,,,,,0
9,,friday,,,23.728907,90.417137,,,,,,,,0.2
8,,thursday,,,23.728907,90.417137,,,,,,,,5
1,,saturday,,,23.874875,90.393071,,,,,,,,0
8,,thursday,,,23.714039,90.450656,,,,,,,,2.7
8,,wednesday,,,23.728907,90.417137,,,,,,,,9.4
8,,wednesday,,,23.728907,90.417137,,,,,,,,9.4
8,,monday,,,23.847177,90.4041325,,,,,,,,0
12,,monday,,,23.794998,90.291207,,,,,,,,11.5
10,,sunday,,,23.913894,90.320686,,,,,,,,0.1
1,,thursday,,,23.913894,90.320686,,,,,,,,0
9,,friday,,,23.913894,90.320686,,,,,,,,0.8
2,,tuesday,,,23.913894,90.320686,,,,,,,,0
8,,friday,,,23.728611,90.385391,,,,,,,,0.8
3,,monday,,,23.6073285,90.613006,,,,,,,,0
7,,sunday,,,23.793708,90.453284,,,,,,,,5
3,,monday,,,23.793708,90.453284,,,,,,,,4.3
8,,friday,,,23.729802,90.4126245,,,,,,,,17.9
3,,monday,,,23.79259,90.407646,,,,,,,,0
9,,friday,,,23.79259,90.407646,,,,,,,,11.3
3,,wednesday,,,23.746136,90.394581,,,,,,,,0
3,,wednesday,,,23.746136,90.394581,,,,,,,,0
4,,sunday,,,23.7268465,90.3922105,,,,,,,,3.2
6,,monday,,,23.716838,90.405322,,,,,,,,1.2
9,,friday,,,23.85833,90.26667,,,,,,,,0.1
5,,friday,,,23.784506,90.403409,,,,,,,,1.4
2,,friday,,,23.728907,90.417137,,,,,,,,0
7,,tuesday,,,23.784506,90.403409,,,,,,,,2.7
2,,sunday,,,23.784506,90.403409,,,,,,,,0
9,,saturday,,,23.731537,90.398707,,,,,,,,1.9
6,,wednesday,,,23.717677,90.394341,,,,,,,,0
1,,monday,,,23.865506,90.413772,,,,,,,,0
1,,monday,,,23.865506,90.413772,,,,,,,,0
9,,thursday,,,23.806587,90.3524285,,,,,,,,1.3
2,,tuesday,,,23.721686,90.497766,,,,,,,,0
9,,saturday,,,23.721686,90.497766,,,,,,,,0.4
4,,sunday,,,23.794413,90.413735,,,,,,,,26.7
6,,wednesday,,,23.874875,90.393071,,,,,,,,51.3
9,,monday,,,23.728907,90.417137,,,,,,,,7.4
4,,tuesday,,,23.794413,90.413735,,,,,,,,1.2
8,,saturday,,,23.881433,90.2683015,,,,,,,,19
9,,friday,,,23.881433,90.2683015,,,,,,,,0.1
9,,monday,,,23.881433,90.2683015,,,,,,,,0
8,,sunday,,,23.881433,90.2683015,,,,,,,,3.2
9,,wednesday,,,23.881433,90.2683015,,,,,,,,2.1
3,,wednesday,,,23.881433,90.2683015,,,,,,,,0.3
4,,friday,,,23.881433,90.2683015,,,,,,,,0
12,,sunday,,,23.881433,90.2683015,,,,,,,,0
1,,sunday,,,23.90833,90.21667,,,,,,,,0.3
1,,sunday,,,23.90833,90.21667,,,,,,,,0.3
11,,monday,,,23.90833,90.21667,,,,,,,,1.5
4,,friday,,,23.90833,90.21667,,,,,,,,0.7
5,,tuesday,,,23.90833,90.21667,,,,,,,,0.1
7,,saturday,,,23.744806,90.373922,,,,,,,,2.5
5,,tuesday,,,23.744806,90.373922,,,,,,,,5
1,,tuesday,,,23.744806,90.373922,,,,,,,,0
5,,sunday,,,23.712453,90.414168,,,,,,,,26.5
1,,monday,,,23.784506,90.403409,,,,,,,,0
4,,tuesday,,,23.746693,90.394921,,,,,,,,1
12,,saturday,,,23.881433,90.2683015,,,,,,,,0
3,,friday,,,23.881433,90.2683015,,,,,,,,0
4,,wednesday,,,23.881433,90.2683015,,,,,,,,0.6
7,,saturday,,,23.881433,90.2683015,,,,,,,,0.8
9,,friday,,,23.881433,90.2683015,,,,,,,,0.8
9,,monday,,,23.881433,90.2683015,,,,,,,,6.5
4,,tuesday,,,23.881433,90.2683015,,,,,,,,0.4
5,,wednesday,,,23.881433,90.2683015,,,,,,,,9.3
2,,tuesday,,,23.881433,90.2683015,,,,,,,,0
12,,tuesday,,,23.881433,90.2683015,,,,,,,,0
2,,friday,,,23.881433,90.2683015,,,,,,,,0
10,,tuesday,,,23.881433,90.2683015,,,,,,,,0
