id,incident_month,incident_week,day,weekend,part_of_the_day,hour,,lat,long,incident_place,incident_district,incident_division,max_temp,avg_temp,min_temp,weather_code,,humidity,visibility,,,season,crime,weight
105,8,32,thursday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,33,31,27,356,,78,9,,,rainy,murder,10
106,10,43,thursday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,,85,8,,,rainy,murder,10
107,1,52,sunday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,32,26,19,113,,57,10,,,winter,murder,10
108,10,43,thursday,0,night,20 - 5:59,,23.760178,90.355229,mohammadpur,dhaka,dhaka,21,21,21,308,,85,8,,,rainy,murder,10
109,9,37,sunday,0,noon,12 - 15:59,,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
110,9,37,sunday,0,noon,12 - 15:59,,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
111,9,37,sunday,0,noon,12 - 15:59,,23.800242,90.366958,monipur,dhaka,dhaka,35,32,28,176,,72,9,,,rainy,murder,10
112,6,25,thursday,0,night,20 - 5:59,,23.784506,90.403409,mugda,dhaka,dhaka,36,34,29,353,,67,10,,,rainy,murder,10
113,3,10,thursday,0,noon,12 - 15:59,,23.728907,90.417137,nakhalpara,dhaka,dhaka,35,30,22,113,,29,10,,,hot,murder,10
114,2,8,wednesday,0,afternoon,16 - 17:59,,23.7350915,90.3842575,new market,dhaka,dhaka,32,28,22,176,,71,10,,,winter,murder,10
115,2,7,friday,1,night,20 - 5:59,,23.7350915,90.3842575,new market,dhaka,dhaka,34,28,21,116,,41,10,,,winter,murder,10
116,5,19,tuesday,0,evening,18 - 19:59,,23.77337857,90.4097081,niketan,dhaka,dhaka,36,33,28,386,,71,10,,,hot,murder,10
117,7,30,thursday,0,night,20 - 5:59,,23.794413,90.413735,old dhaka,dhaka,dhaka,33,31,27,356,,79,8,,,rainy,murder,10
118,5,18,monday,0,night,20 - 5:59,,23.794413,90.413735,old dhaka,dhaka,dhaka,35,32,27,353,,68,9,,,hot,murder,10
119,4,15,friday,1,morning,6 - 11:59,,23.794413,90.413735,old dhaka,dhaka,dhaka,37,32,25,176,,54,10,,,hot,murder,10
120,1,4,sunday,0,morning,6 - 11:59,,23.827398,90.364473,pallabi,dhaka,dhaka,30,26,19,113,,46,10,,,winter,murder,10
121,12,52,monday,0,morning,6 - 11:59,,23.827398,90.364473,pallabi,dhaka,dhaka,25,22,20,113,,63,10,,,winter,murder,10
122,1,2,wednesday,0,morning,6 - 11:59,,23.827398,90.364473,pallabi,dhaka,dhaka,27,23,16,113,,54,10,,,winter,murder,10
123,5,19,wednesday,0,afternoon,16 - 17:59,,23.748663,90.404175,ramna,dhaka,dhaka,37,33,28,386,,71,9,,,hot,murder,10
124,7,29,wednesday,0,night,20 - 5:59,,23.759994,90.420113,rampura,dhaka,dhaka,31,29,27,356,,82,9,,,rainy,murder,10
125,7,27,saturday,1,evening,18 - 19:59,,23.77731,90.43628,rupnagar,dhaka,dhaka,33,31,27,353,,79,10,,,rainy,murder,10
126,9,36,saturday,1,night,20 - 5:59,,23.784506,90.403409,korail,dhaka,dhaka,34,31,26,353,,75,10,,,rainy,murder,10
127,4,15,monday,0,noon,12 - 15:59,,23.85833,90.26667,savar,dhaka,dhaka,38,34,25,143,,60,9,,,hot,murder,10
128,2,7,saturday,1,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,28,24,21,116,,52,10,,,winter,murder,10
129,5,20,tuesday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,33,31,27,353,,76,9,,,hot,murder,10
130,9,37,sunday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,34,31,27,353,,80,9,,,rainy,murder,10
131,8,34,monday,0,evening,18 - 19:59,,23.85833,90.26667,savar,dhaka,dhaka,35,33,28,353,,66,10,,,rainy,murder,10
132,2,6,monday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,31,26,20,113,,42,10,,,winter,murder,10
133,4,15,sunday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,37,34,28,113,,57,10,,,hot,murder,10
134,9,38,tuesday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,38,35,29,113,,59,10,,,rainy,murder,10
135,1,3,thursday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,30,25,18,113,,51,10,,,winter,murder,10
136,12,52,thursday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,24,21,16,116,,40,10,,,winter,murder,10
137,7,30,wednesday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,33,31,27,356,,79,9,,,rainy,murder,10
138,2,6,thursday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,30,26,21,113,,47,10,,,winter,murder,10
139,2,7,wednesday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,32,27,20,113,,37,10,,,winter,murder,10
140,7,30,wednesday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,33,31,27,356,,79,9,,,rainy,murder,10
141,3,12,thursday,0,night,20 - 5:59,,23.85833,90.26667,savar,dhaka,dhaka,36,32,25,113,,49,10,,,hot,murder,10
142,8,34,tuesday,0,afternoon,16 - 17:59,,23.85833,90.26667,savar,dhaka,dhaka,34,31,27,356,,78,10,,,rainy,murder,10
143,1,2,sunday,0,night,20 - 5:59,,23.812063,90.348161,shah ali,dhaka,dhaka,27,22,15,113,,43,10,,,winter,murder,10
144,4,17,monday,0,night,20 - 5:59,,23.736484,90.397323,shahbagh,dhaka,dhaka,32,30,27,356,,82,8,,,hot,murder,10
145,9,36,friday,1,night,20 - 5:59,,23.784506,90.403409,shanir akhra,dhaka,dhaka,35,32,28,356,,74,9,,,rainy,murder,10
146,3,9,thursday,0,night,20 - 5:59,,23.784506,90.403409,shankaribazar,dhaka,dhaka,33,29,24,113,,41,10,,,hot,murder,10
147,7,26,saturday,1,night,20 - 5:59,,23.784506,90.403409,shekhertek,dhaka,dhaka,34,31,27,353,,79,9,,,rainy,murder,10
148,8,35,monday,0,night,20 - 5:59,,23.784506,90.403409,shewrapara,dhaka,dhaka,33,31,27,356,,76,9,,,rainy,murder,10
149,8,35,thursday,0,evening,18 - 19:59,,23.698502,90.42949,shyampur,dhaka,dhaka,34,32,27,356,,74,9,,,rainy,murder,10
150,6,26,friday,1,night,20 - 5:59,,23.711414,90.415019,sutrapur,dhaka,dhaka,33,31,27,359,,80,9,,,rainy,murder,10
151,5,19,monday,0,night,20 - 5:59,,23.783794,90.378374,taltola,dhaka,dhaka,41,35,27,116,,63,10,,,hot,murder,10
152,1,3,wednesday,0,noon,12 - 15:59,,23.763,90.3897,tejgaon,dhaka,dhaka,29,24,18,113,,39,10,,,winter,murder,10
153,12,52,wednesday,0,morning,6 - 11:59,,23.763,90.3897,tejgaon,dhaka,dhaka,25,22,17,116,,44,10,,,winter,murder,10
154,12,52,wednesday,0,morning,6 - 11:59,,23.763,90.3897,tejgaon,dhaka,dhaka,25,22,17,116,,44,10,,,winter,murder,10
155,5,19,sunday,0,night,20 - 5:59,,23.720046,90.421578,tikatuli,dhaka,dhaka,37,34,29,386,,66,9,,,hot,murder,10
156,5,20,tuesday,0,night,20 - 5:59,,23.720046,90.421578,tikatuli,dhaka,dhaka,38,34,29,356,,63,9,,,hot,murder,10
157,1,52,sunday,0,night,20 - 5:59,,23.860422,90.367672,turag,dhaka,dhaka,32,26,19,113,,57,10,,,winter,murder,10
158,4,16,monday,0,night,20 - 5:59,,23.728907,90.417137,uttarkhan,dhaka,dhaka,37,32,26,176,,60,10,,,hot,murder,10
159,5,19,friday,1,night,20 - 5:59,,23.728907,90.417137,uttarkhan,dhaka,dhaka,40,35,29,116,,65,10,,,hot,murder,10
